word,original_forms,length,frequency,log_frequency,difficulty,skip_probability,regression_probability,total_occurrences
selfpropelled,self-propelled,13,1.0,0.0,1.0,0.18181818181818182,0.0,11
vehicle,vehicle,7,22.610000000000003,1.3543005623453597,0.8768817670595129,0.2727272727272727,0.0,11
named,"(named, named",5,69.88000000000005,1.8443528963108942,0.8323315548808276,0.3333333333333333,0.06060606060606061,33
which,"(which, which",5,477.2400000000014,2.6787368370336146,0.7564784693605846,0.38207547169811323,0.08490566037735849,212
testdrove,test-drove,9,1.0,0.0,1.0,0.18181818181818182,0.45454545454545453,11
june,June,4,18.85999999999999,1.2755416884013087,0.8840416646907907,0.5072463768115942,0.11594202898550725,69
4,"4, 4,",1,1.0,0.0,1.0,0.7288135593220338,0.06779661016949153,59
that,"That, that, that,",4,14111.310000000045,4.149567332631934,0.6227666061243714,0.5432692307692307,0.13942307692307693,208
year,"year, year""), year,, year.",4,277.91999999999916,2.443919801103026,0.7778254726269995,0.4098360655737705,0.09016393442622951,122
born,"(born, Born, born, born.",4,83.69,1.9226735678585394,0.8252114938310354,0.4506172839506173,0.1646090534979424,486
prosperous,prosperous,10,1.25,0.09691001300805645,0.9911899988174493,0.36363636363636365,0.2727272727272727,11
farm,"Farm., farm",4,30.04,1.4776999283321313,0.8656636428788967,0.21739130434782608,0.17391304347826086,23
springwells,Springwells,11,1.0,0.0,1.0,0.36363636363636365,0.36363636363636365,11
township,Township,8,0.49000000000000016,-0.30980391997148626,1.0281639927246806,0.36363636363636365,0.0,11
now,"(now, now",3,3202.61,3.505504055379278,0.681317813147338,0.7272727272727273,0.18181818181818182,22
city,"City, City), City., city",4,169.1000000000002,2.2281436075977408,0.7974414902183878,0.5,0.1323529411764706,68
dearborn,"Dearborn,",8,0.5700000000000001,-0.24412514432750856,1.0221931949388645,0.5454545454545454,0.2727272727272727,11
michigan,Michigan),8,5.840000000000001,0.7664128471123995,0.930326104807964,0.36363636363636365,0.09090909090909091,11
owned,owned,5,11.75,1.0700378666077552,0.9027238303083857,0.18181818181818182,0.0,11
parents,"parents', parents,",7,140.73,2.148386687666821,0.8046921193030164,0.17391304347826086,0.17391304347826086,23
william,"William, William.",7,32.40999999999993,1.5106790310322056,0.8626655426334364,0.24087591240875914,0.15328467153284672,137
18261905,(1826-1905),8,1.0,0.0,1.0,0.36363636363636365,0.2727272727272727,11
mary,Mary,4,88.07999999999996,1.9448773059636977,0.8231929721851184,0.3125,0.275,80
litogot,Litogot,7,1.0,0.0,1.0,0.2727272727272727,0.09090909090909091,11
c18391876,"(c1839-1876),",9,1.0,0.0,1.0,0.2727272727272727,0.18181818181818182,11
immigrants,immigrants,10,1.51,0.17897694729316946,0.9837293684278936,0.7272727272727273,0.8181818181818182,11
from,"(from, From, from",4,2039.060000000026,3.309430005221724,0.699142726798017,0.5170340681362725,0.10821643286573146,499
county,"County, County,",6,33.76,1.5284024379536165,0.8610543238223983,0.4090909090909091,0.25,44
cork,"Cork,",4,2.86,0.456366033129043,0.9585121788064508,0.18181818181818182,0.2727272727272727,11
ireland,"Ireland),, Ireland.",7,0.4299999999999999,-0.3665315444204136,1.0333210494927652,0.13636363636363635,0.0,22
years,"years, years,, years., years;",5,568.69,2.7548755915667376,0.7495567644030243,0.3142857142857143,0.11428571428571428,70
between,"Between, between",7,175.13999999999987,2.2433853453716583,0.7960558776934847,0.15492957746478872,0.14084507042253522,71
wars,"Wars, wars,",4,9.120000000000003,0.9599948383284164,0.9127277419701442,0.5454545454545454,0.13636363636363635,22
supported,supported,9,3.650000000000001,0.5622928644564744,0.9488824668675934,0.2608695652173913,0.2608695652173913,23
adolf,Adolf,5,1.3500000000000008,0.13033376849500616,0.988151475591363,0.20588235294117646,0.08823529411764706,34
hitlers,Hitler's,7,1.0,0.0,1.0,0.45454545454545453,0.36363636363636365,11
nazi,Nazi,4,6.86,0.8363241157067519,0.9239705349357498,0.09090909090909091,0.18181818181818182,11
regime,regime.,6,2.3099999999999996,0.3636119798921444,0.9669443654643503,0.0,0.0,11
there,"There, There,, There., there, there.",5,4348.119999999997,3.6383015212971177,0.6692453162457158,0.18518518518518517,0.09876543209876543,81
is,is,2,9013.0,3.954869371066479,0.6404664208121377,0.6383442265795207,0.07625272331154684,459
also,also,4,206.43000000000026,2.314772812566049,0.7895661079485414,0.4540229885057471,0.14942528735632185,174
some,"Some, some",4,1727.2400000000014,3.2373526869790985,0.7056952102746272,0.3333333333333333,0.12280701754385964,57
evidence,evidence,8,85.0,1.929418925714294,0.8245982794805188,0.09090909090909091,0.0,22
gave,gave,4,243.6899999999999,2.3868377079540077,0.783014753822363,0.43478260869565216,0.08695652173913043,23
hitler,Hitler,6,12.31,1.090258052931316,0.9008856315516985,0.4090909090909091,0.18181818181818182,22
direct,direct,6,24.039999999999996,1.380934463330702,0.874460503333573,0.45454545454545453,0.2727272727272727,11
financial,financial,9,15.240000000000002,1.182984967003582,0.8924559120905833,0.2727272727272727,0.09090909090909091,11
backing,backing,7,6.3500000000000005,0.8027737252919759,0.9270205704280022,0.09090909090909091,0.0,11
when,"When, when",4,2034.100000000002,3.308372299806309,0.6992388818357896,0.22807017543859648,0.07017543859649122,57
first,"First, first",5,840.570000000003,2.9245738859466472,0.7341296467321241,0.37681159420289856,0.07246376811594203,138
starting,starting,8,69.76,1.8436064719245102,0.8323994116432266,0.17391304347826086,0.21739130434782608,23
politics,"politics, politics.",8,16.57,1.2193225084193366,0.8891524992346052,0.08823529411764706,0.0,34
can,can,3,5247.449999999999,3.719948309126273,0.6618228809885206,0.09090909090909091,0.36363636363636365,11
part,"Part, part",4,261.50999999999965,2.4174883007053234,0.7802283362995156,0.42391304347826086,0.14130434782608695,92
be,be,2,5746.760000000006,3.7594230602184147,0.6582342672528719,0.6,0.1,80
traced,traced,6,4.3100000000000005,0.6344772701607315,0.9423202481672063,0.18181818181818182,0.09090909090909091,11
statements,statements,10,5.47,0.7379873263334308,0.9329102430605972,0.09090909090909091,0.09090909090909091,11
kurt,Kurt,4,1.0,0.0,1.0,0.2727272727272727,0.2727272727272727,11
ludecke,"Ludecke,",7,1.0,0.0,1.0,0.0,0.0,11
germanys,Germany's,8,1.0,0.0,1.0,0.09090909090909091,0.2727272727272727,11
representative,"Representative, representative",14,5.290000000000003,0.723455672035186,0.934231302542256,0.09090909090909091,0.2727272727272727,22
us,U.S.,2,1695.6500000000008,3.2293362142207678,0.7064239805253862,0.3544973544973545,0.10582010582010581,189
1920s,"1920s,",5,1.0,0.0,1.0,0.09090909090909091,0.18181818181818182,11
winifred,Winifred,8,1.0,0.0,1.0,0.5454545454545454,0.5454545454545454,11
wagner,"Wagner,",6,2.939999999999999,0.46834733041215754,0.9574229699625314,0.5,0.13636363636363635,22
daughterinlaw,daughter-in-law,13,1.0,0.0,1.0,0.18181818181818182,0.2727272727272727,11
richard,Richard,7,73.82000000000004,1.8681740408596386,0.8301659962854872,0.2608695652173913,0.15217391304347827,46
who,"Who, who, who,",3,2222.939999999987,3.346927740692429,0.6957338417552359,0.546875,0.1,320
said,said,4,1108.45,3.04471610772219,0.7232076265707097,0.5142857142857142,0.11428571428571428,35
they,"They, they",4,4102.940000000001,3.613095166038457,0.671536803087413,0.3670886075949367,0.1518987341772152,79
requested,requested,9,8.629999999999999,0.9360107957152095,0.9149081094804358,0.36363636363636365,0.2727272727272727,11
funds,funds,5,6.61,0.8202014594856404,0.9254362309558511,0.36363636363636365,0.0,11
aid,aid,3,13.900000000000004,1.1430148002540952,0.8960895636132643,0.5454545454545454,0.09090909090909091,11
national,National,8,38.15999999999999,1.5816083660320575,0.8562174212698129,0.18181818181818182,0.09090909090909091,11
socialist,Socialist,9,1.2699999999999998,0.10380372095595684,0.9905632980949125,0.21739130434782608,0.17391304347826086,23
movement,"movement, movement,",8,14.839999999999996,1.171433900943008,0.8935060090051814,0.36363636363636365,0.2727272727272727,22
germany,"Germany,, Germany.",7,13.710000000000003,1.1370374547895128,0.8966329586554985,0.22727272727272727,0.0,22
although,"Although, although",8,42.01999999999999,1.6234560480699343,0.8524130865390968,0.15217391304347827,0.15217391304347827,46
often,often,5,57.349999999999966,1.7585334222372855,0.8401333252511557,0.29411764705882354,0.17647058823529413,34
credited,credited,8,0.6100000000000001,-0.2146701649892329,1.019515469544476,0.45454545454545453,0.18181818181818182,11
idea,"idea,",4,359.04,2.5551428352400483,0.7677142877054502,0.5454545454545454,0.0,11
contemporary,contemporary,12,1.9399999999999995,0.2878017299302261,0.9738362063699798,0.21739130434782608,0.17391304347826086,23
sources,sources,7,8.22,0.9148718175400503,0.9168298347690862,0.45454545454545453,0.2727272727272727,11
indicate,indicate,8,8.33,0.9206450014067878,0.9163049998721106,0.36363636363636365,0.18181818181818182,11
concept,concept,7,10.840000000000002,1.0350292822023681,0.9059064288906936,0.36363636363636365,0.09090909090909091,11
its,"""It's, its",3,171.71,2.2347955882206434,0.7968367647072148,0.5,0.08823529411764706,34
development,development,11,12.25,1.0881360887005513,0.901078537390859,0.2727272727272727,0.18181818181818182,11
came,"Came, came",4,463.7299999999996,2.6662651925380523,0.7576122552238126,0.45652173913043476,0.06521739130434782,46
employees,employees,9,11.960000000000003,1.0777311796523923,0.9020244382134188,0.36363636363636365,0.2727272727272727,11
clarence,Clarence,8,8.590000000000002,0.9339931638312424,0.9150915305607961,0.45454545454545453,0.36363636363636365,11
avery,"Avery,",5,1.0,0.0,1.0,0.5454545454545454,0.09090909090909091,11
peter,Peter,5,90.12,1.9548211830517928,0.8222889833589277,0.5454545454545454,0.18181818181818182,11
e,E.,1,1.0,0.0,1.0,0.717391304347826,0.10869565217391304,46
martin,"Martin, Martin,",6,42.54999999999997,1.6288995644206066,0.851918221416308,0.3617021276595745,0.0851063829787234,47
charles,Charles,7,51.10000000000007,1.7084209001347122,0.8446890090786635,0.3025210084033613,0.21008403361344538,119
sorensen,"Sorensen,",8,1.0,0.0,1.0,0.18181818181818182,0.2727272727272727,11
ch,C.H.,2,0.7999999999999999,-0.09691001300805638,1.0088100011825503,0.0,0.0,11
advocated,advocated,9,0.35000000000000003,-0.4559319556497244,1.04144835960452,0.18181818181818182,0.36363636363636365,11
longtime,long-time,8,0.5300000000000001,-0.2757241303992109,1.0250658300362918,0.18181818181818182,0.2727272727272727,11
associate,associate,9,8.980000000000002,0.9532763366673044,0.9133385148484267,0.36363636363636365,0.5454545454545454,11
harry,Harry,5,82.22000000000001,1.914977472444331,0.8259111388686974,0.6363636363636364,0.36363636363636365,11
bennett,Bennett,7,1.0,0.0,1.0,0.36363636363636365,0.0,11
take,take,4,1891.0400000000006,3.276700715304873,0.7021181167904659,0.5454545454545454,0.24242424242424243,33
spot,"spot, spot.",4,61.57,1.789369153591482,0.837330076946229,0.18181818181818182,0.0,22
edsels,Edsel's,6,1.0,0.0,1.0,0.13636363636363635,0.4090909090909091,22
widow,widow,5,12.099999999999996,1.0827853703164503,0.9015649663348685,0.2727272727272727,0.36363636363636365,11
eleanor,"Eleanor, Eleanor,",7,6.919999999999999,0.8401060944567577,0.9236267186857495,0.2608695652173913,0.34782608695652173,23
inherited,inherited,9,4.22,0.625312450961674,0.9431534135489386,0.2727272727272727,0.18181818181818182,11
voting,voting,6,4.730000000000001,0.6748611407378116,0.9386489872056534,0.36363636363636365,0.0,11
stock,"stock,",5,25.490000000000006,1.406369835469267,0.8721481967755212,0.8181818181818182,0.45454545454545453,11
wanted,wanted,6,502.2700000000001,2.7009372390324384,0.7544602509970509,0.45454545454545453,0.2727272727272727,11
her,"Her, her",3,2835.8199999999993,3.4526786611063494,0.6861201217176066,0.3619047619047619,0.08095238095238096,210
son,"(son, son, son),, son,",3,410.7599999999985,2.613588145185498,0.7624010777104125,0.5019762845849802,0.1383399209486166,253
ii,"II, II,, II.",2,1.1200000000000012,0.049218022670181626,0.9955256343027097,0.5957446808510638,0.06382978723404255,94
over,over,4,1323.2900000000006,3.12165503058072,0.716213179038116,0.6521739130434783,0.43478260869565216,23
position,"position, position.",8,72.07999999999998,1.8578147779710072,0.8311077474571814,0.21739130434782608,0.043478260869565216,23
1879,"1879, 1879,",4,1.0,0.0,1.0,0.22727272727272727,0.18181818181818182,22
left,left,4,484.4500000000004,2.6852489602420073,0.7558864581598175,0.30434782608695654,0.13043478260869565,46
home,home,4,774.33,2.888926085535086,0.7373703558604469,0.36363636363636365,0.0,11
for,"""for, For, for",3,6895.1000000000595,3.8385405691533525,0.6510417664406022,0.6028225806451613,0.10080645161290322,496
nearby,nearby,6,8.33,0.9206450014067878,0.9163049998721106,0.36363636363636365,0.2727272727272727,11
detroit,Detroit,7,10.550000000000004,1.0232524596337111,0.9069770491242081,0.3181818181818182,0.18181818181818182,22
work,work,4,798.0199999999993,2.9020137757878186,0.7361805658374718,0.46551724137931033,0.15517241379310345,58
apprentice,apprentice,10,1.94,0.287801729930226,0.9738362063699794,0.45454545454545453,0.18181818181818182,11
machinist,"machinist,",9,0.4100000000000001,-0.38721614328026455,1.0352014675709333,0.18181818181818182,0.09090909090909091,11
james,"James, James,",5,65.8400000000001,1.8184898222042134,0.8346827434359796,0.3475177304964539,0.1347517730496454,141
f,F.,1,1.0,0.0,1.0,0.723404255319149,0.06382978723404255,47
flower,Flower,6,22.759999999999994,1.357172257723034,0.8766207038433607,0.45454545454545453,0.0,11
,"&, -, --, ...",0,1.0,0.0,1.0,0.9032258064516129,0.016129032258064516,372
bros,"Bros.,",4,1.0999999999999999,0.04139268515822508,0.9962370286219795,0.5454545454545454,0.09090909090909091,11
later,later,5,291.94000000000017,2.465293603686636,0.7758823996648515,0.43333333333333335,0.12666666666666668,150
dry,Dry,3,42.82,1.6316466629584192,0.8516684851855983,0.36363636363636365,0.09090909090909091,11
dock,Dock,4,9.75,0.9890046156985369,0.9100904894819515,0.09090909090909091,0.09090909090909091,11
co,"Co., Co.,",2,5.5900000000000025,0.7474118078864236,0.9320534720103251,0.2727272727272727,0.045454545454545456,22
rae,Rae,3,1.0,0.0,1.0,0.5454545454545454,0.5454545454545454,11
baldwin,"""Baldwin, Baldwin, Baldwin,",7,1.0,0.0,1.0,0.19696969696969696,0.19696969696969696,66
iii,"III, III,, III:",3,0.04000000000000002,-1.3979400086720375,1.127085455333822,0.6086956521739131,0.13043478260869565,69
april,"(April, April",5,20.65000000000005,1.3149200559924175,0.8804618130915994,0.578125,0.140625,128
3,"3,",1,1.0,0.0,1.0,0.8695652173913043,0.13043478260869565,23
1958,"(1958),, 1958,",4,1.0,0.0,1.0,0.17777777777777778,0.15555555555555556,45
massapequa,"Massapequa,",10,1.0,0.0,1.0,0.45454545454545453,0.18181818181818182,11
long,"Long, long",4,675.16,2.8294067045093914,0.7427812086809641,0.48936170212765956,0.1276595744680851,47
island,"Island, Island,, Island., island",6,39.57000000000007,1.59736605026603,0.8547849045212684,0.36893203883495146,0.1553398058252427,103
new,"New, new",3,723.7799999999991,2.859606578206228,0.740035765617619,0.5167464114832536,0.13875598086124402,209
york,"York, York,, York.",4,138.61000000000033,2.14179456352366,0.8052914033160328,0.44508670520231214,0.12138728323699421,173
usa,USA),3,3.9799999999999995,0.5998830720736877,0.945465175266028,0.6363636363636364,0.09090909090909091,11
american,American,8,102.2200000000003,2.009535876619224,0.8173149203073469,0.24719101123595505,0.15730337078651685,267
actor,"actor, actor,, actor.",5,26.329999999999966,1.4204508591060685,0.8708681037176306,0.3804347826086957,0.15217391304347827,92
oldest,oldest,6,9.370000000000003,0.9717395908877787,0.9116600371920203,0.45454545454545453,0.22727272727272727,22
best,"""Best, Best, best",4,404.36999999999966,2.6067789280323534,0.7630200974516033,0.5375,0.125,80
known,known,5,123.53000000000004,2.0917724414196837,0.8098388689618472,0.3950617283950617,0.18518518518518517,81
brothers,"Brothers, brothers, brothers"",",8,47.05999999999996,1.6726519228400034,0.8479407342872719,0.2898550724637681,0.18840579710144928,69
daniel,"Daniel, Daniel,",6,21.88,1.3400473176613936,0.878177516576237,0.34782608695652173,0.21739130434782608,23
stephen,Stephen,7,13.289999999999994,1.1235249809427317,0.8978613653688428,0.18181818181818182,0.5454545454545454,11
three,"Three, three",5,542.2400000000004,2.734191551493299,0.7514371316824278,0.2898550724637681,0.15942028985507245,69
quarters,quarters,8,16.16,1.2084413564385676,0.8901416948692215,0.2727272727272727,0.2727272727272727,11
irish,Irish,5,1.5500000000000005,0.1903316981702914,0.9826971183481558,0.4090909090909091,0.045454545454545456,22
one,one,3,3072.239999999994,3.487455139290589,0.6829586237008557,0.47183098591549294,0.08450704225352113,142
quarter,quarter,7,26.020000000000003,1.415307292225567,0.8713357007067667,0.09090909090909091,0.09090909090909091,11
french,French,6,69.43000000000002,1.8415471652565518,0.8325866213403126,0.35294117647058826,0.058823529411764705,34
descent,"descent, descent.",7,2.590000000000002,0.41329976408125185,0.9624272941744321,0.17647058823529413,0.11764705882352941,34
has,has,3,1133.9199999999987,3.0545824154174386,0.7223106895075048,0.48214285714285715,0.17857142857142858,56
appeared,appeared,8,9.779999999999989,0.9903388547876019,0.9099691950193082,0.2978723404255319,0.14893617021276595,47
movies,"movies, movies,",6,46.0,1.662757831681574,0.8488401971198564,0.391304347826087,0.15217391304347827,46
such,such,4,291.22,2.464221197534445,0.7759798911332323,0.4647887323943662,0.07042253521126761,71
cooler,"Cooler,",6,7.060000000000001,0.8488047010518038,0.9228359362680181,0.36363636363636365,0.09090909090909091,11
hunt,Hunt,4,25.86000000000001,1.4126285205443752,0.8715792254050568,0.6363636363636364,0.18181818181818182,11
red,Red,3,148.05999999999997,2.170437745046183,0.8026874777230742,0.8181818181818182,0.36363636363636365,11
beetlejuice,"Beetlejuice,",11,1.0,0.0,1.0,0.45454545454545453,0.09090909090909091,11
ghosts,Ghosts,6,14.080000000000002,1.1486026548060937,0.8955815768358094,0.36363636363636365,0.18181818181818182,11
mississippi,"Mississippi, Mississippi,",11,6.650000000000003,0.8228216453031046,0.9251980322451724,0.34782608695652173,0.13043478260869565,23
talk,Talk,4,855.0,2.9319661147281733,0.7334576259338023,0.6363636363636364,0.0,11
radio,"""Radio, Radio,, radio",5,77.17999999999999,1.8875047742353797,0.8284086568876925,0.7058823529411765,0.4411764705882353,34
final,"Final, final",5,49.66999999999999,1.6960941599952235,0.845809621818616,0.4090909090909091,0.18181818181818182,22
fantasy,Fantasy:,7,16.240000000000002,1.2105860249051565,0.8899467250086222,0.6363636363636364,0.18181818181818182,11
spirits,Spirits,7,16.139999999999997,1.2079035303860517,0.8901905881467228,0.45454545454545453,0.09090909090909091,11
within,"Within, within",6,59.160000000000004,1.7720281653248549,0.8389065304250135,0.782608695652174,0.34782608695652173,23
voice,"(voice),",5,86.15999999999998,1.9353056902899253,0.8240631190645525,0.45454545454545453,0.0,11
cat,Cat,3,66.33000000000001,1.8217099972983766,0.8343900002456018,0.5454545454545454,0.0,11
hat,"Hat,",3,64.18000000000002,1.807399712759485,0.8356909352036831,0.7272727272727273,0.5454545454545454,11
pearl,Pearl,5,15.669999999999998,1.19506899646859,0.8913573639574005,0.6363636363636364,0.09090909090909091,11
harbor,"Harbor,",6,11.019999999999998,1.042181594515766,0.905256218680385,0.36363636363636365,0.09090909090909091,11
thomas,Thomas,6,32.07999999999998,1.506234359612124,0.8630696036716254,0.27586206896551724,0.13793103448275862,58
magic,Magic,5,52.68999999999999,1.7217281985727875,0.843479254675201,0.6363636363636364,0.18181818181818182,11
railroad,"Railroad, Railroad,",8,12.430000000000005,1.0944711286416444,0.9005026246689417,0.22857142857142856,0.05714285714285714,35
along,"Along, along",5,182.94000000000003,2.2623086747490238,0.7943355750228158,0.36363636363636365,0.045454545454545456,22
polly,"Polly,",5,6.61,0.8202014594856404,0.9254362309558511,0.5454545454545454,0.2727272727272727,11
spongebob,SpongeBob,9,1.0,0.0,1.0,0.2727272727272727,0.18181818181818182,11
squarepants,SquarePants,11,1.0,0.0,1.0,0.2727272727272727,0.18181818181818182,11
movie,"Movie,, movie",5,122.96000000000002,2.089763854491689,0.8100214677734819,0.5227272727272727,0.18181818181818182,44
aviator,Aviator.,7,0.5499999999999999,-0.25963731050575606,1.0236033918641598,0.0,0.0,11
