word,original_forms,length,frequency,log_frequency,predictability,skip_probability,total_occurrences
efforts,efforts,7,7.349999999999999,0.8662873390841951,0.00010000000000000003,0.75,12
still,still,5,788.7299999999999,2.8969283598911617,0.00010000000000000003,0.75,12
p,P.,1,1.0,0.0,0.055774125186005524,0.75,12
tanks,Tanks,5,9.92,0.9965116721541788,0.00010000000000000003,0.75,12
unit,unit,4,36.18,1.5584685625237948,0.00010000000000000003,0.75,12
1990,"1990),",4,1.0,0.0,0.00010000000000000003,0.75,12
missed,missed,6,89.56999999999998,1.9521625742144624,0.00010000000000000003,0.75,12
pronounced,(pronounced,10,2.98,0.4742162640762552,0.00010000000000000003,0.75,12
1870,1870,4,1.0,0.0,0.00010000000000000003,0.75,12
gordon,Gordon,6,1.0,0.0,0.00010000000000000003,0.75,12
to,"to, to.",2,22677.839999999862,4.35560168687181,0.13778692857739894,0.7448840381991815,1466
7,"7,",1,1.0,0.0,9.999999999999998e-05,0.7391304347826086,46
by,"By, by",2,1340.469999999992,3.127257098825995,0.08611802805735268,0.7375886524822695,282
4,"4, 4,",1,1.0,0.0,8.135593220338982e-05,0.7288135593220338,59
hat,"Hat,",3,64.18000000000002,1.807399712759485,0.0,0.7272727272727273,11
29,"29,",2,1.0,0.0,0.0,0.7272727272727273,11
knew,knew,4,368.96,2.5669792856146043,0.007239972600613719,0.7272727272727273,11
obituary,obituary,8,1.33,0.1238516409670858,0.00010000000000000003,0.7272727272727273,11
dot,Dot,3,6.630000000000001,0.8215135284047735,0.0,0.7272727272727273,11
settle,settle,6,42.019999999999996,1.6234560480699332,0.0,0.7272727272727273,11
now,"(now, now",3,3202.61,3.505504055379278,0.012057448887957402,0.7272727272727273,22
uk,UK),2,1.0,0.0,0.00010000000000000003,0.7272727272727273,11
immigrants,immigrants,10,1.51,0.17897694729316946,0.0,0.7272727272727273,11
columnist,columnist,9,1.0,0.0,0.0,0.7272727272727273,11
what,what,4,9842.450000000004,3.9931032172362824,0.0009790002477483959,0.7272727272727273,22
1728,1728,4,1.0,0.0,0.0,0.7272727272727273,11
hampstead,"Hampstead,",9,1.0,0.0,0.00010000000000000003,0.7272727272727273,11
driver,driver,6,47.37,1.6755033847279568,0.0,0.7272727272727273,11
1982,1982,4,1.0,0.0,0.00010000000000000003,0.7272727272727273,11
victory,victory,7,21.449999999999992,1.3314272965207432,0.0,0.7272727272727273,11
all,all,3,5161.8599999999915,3.712806221429865,0.0007517872037162598,0.7246376811594203,69
f,F.,1,1.0,0.0,0.23099534802806126,0.723404255319149,47
h,H.,1,1.0,0.0,0.04577460128951348,0.7204301075268817,93
a,"A., a",1,20415.269999999728,4.309955128012912,0.07548566620949036,0.7189157336476134,1697
e,E.,1,1.0,0.0,5.6075135181711366e-05,0.717391304347826,46
d,D.,1,1.0,0.0,0.36539941220133537,0.7142857142857143,35
radio,"""Radio, Radio,, radio",5,77.17999999999999,1.8875047742353797,3.5294117647058834e-05,0.7058823529411765,34
study,study,5,49.039999999999985,1.6905504615103581,0.00010067163949008438,0.6956521739130435,23
15,"15,",2,1.0,0.0,0.00010000000000000005,0.6949152542372882,59
23,"23,",2,1.0,0.0,8.67469879518073e-05,0.6867469879518072,83
as,"As, as",2,2217.020000000015,3.3457696109541226,0.12103091464402065,0.6687116564417178,815
at,"At, at",2,3217.1000000000013,3.507464560676019,0.039361949456474477,0.6675257731958762,388
rev,Rev.,3,4.0600000000000005,0.6085260335771939,0.0002678284536140577,0.6666666666666666,12
neil,Neil,4,1.0,0.0,0.00010000000000000003,0.6666666666666666,12
joux,"Joux,",4,1.0,0.0,0.00010000000000000003,0.6666666666666666,12
lake,Lake,4,36.0,1.5563025007672875,0.00010000000000000003,0.6666666666666666,12
1880,1880,4,1.0,0.0,0.00010000000000000003,0.6666666666666666,12
4th,4th,3,1.0,0.0,0.00010000000000000003,0.6666666666666666,12
planes,planes,6,17.53,1.2437819160937948,0.00010000000000000003,0.6666666666666666,12
12,"12,",2,1.0,0.0,9.999999999999999e-05,0.6666666666666666,24
18th,18th,4,1.0,0.0,0.0003704944952206953,0.6666666666666666,12
le,Le,2,15.919999999999996,1.2019430634016501,0.00010000000000000003,0.6666666666666666,12
vegas,Vegas,5,40.269999999999996,1.6049816296074315,0.7250002299093695,0.6666666666666666,12
gloria,Gloria,6,12.879999999999997,1.1099158630237935,0.00010000000000000003,0.6666666666666666,12
31,31,2,1.0,0.0,0.00010000000000000003,0.6666666666666666,12
ann,Ann,3,25.41,1.4050046650503696,0.00010000000000000003,0.6666666666666666,12
off,off,3,1179.51,3.071701627227896,0.0020195780869964692,0.6666666666666666,12
10000,"10,000",5,1.0,0.0,0.00010000000000000003,0.6666666666666666,12
enlisted,enlisted,8,3.41,0.5327543789924977,0.00010000000000000003,0.6666666666666666,12
1989,1989),4,1.0,0.0,0.00010000000000000003,0.6666666666666666,12
sixth,sixth,5,10.799999999999999,1.0334237554869499,0.00010000000000000003,0.6666666666666666,12
like,like,4,3998.9600000000014,3.60194706008097,9.999999999999999e-05,0.6666666666666666,24
voiced,(voiced,6,0.35000000000000003,-0.4559319556497244,0.00010000000000000003,0.6666666666666666,12
council,council,7,16.920000000000005,1.228400358703005,0.00010000000000000003,0.6666666666666666,12
1885,1885,4,1.0,0.0,0.00010000000000000003,0.6666666666666666,12
either,either,6,182.51,2.2612866650984587,0.00028738671215806737,0.6666666666666666,12
112,112,3,1.0,0.0,0.00010000000000000003,0.6666666666666666,12
rival,rival,5,3.7800000000000007,0.5774917998372252,0.00010000000000000003,0.6666666666666666,12
lt,Lt.,2,27.37,1.4372747974101239,0.00010000000000000003,0.6666666666666666,12
thereby,thereby,7,1.5500000000000005,0.19033169817029147,0.00010000000000000003,0.6666666666666666,12
envoy,envoy,5,0.86,-0.0655015487564323,0.00010000000000000003,0.6666666666666666,12
heart,Heart),5,244.17999999999998,2.3877100893986056,0.00010000000000000003,0.6666666666666666,12
an,"(an, an",2,1864.1400000000112,3.270478525477319,0.00989990080747858,0.6606217616580311,386
5,"(5, 5, 5,",1,1.0,0.0,9.792957992798021e-05,0.6595744680851063,47
over,over,4,1323.2900000000006,3.12165503058072,6.045616817850405e-05,0.6521739130434783,23
guest,guest,5,39.940000000000026,1.6014080605346834,0.0001,0.6521739130434783,23
in,"In, in",2,9773.410000000136,3.9900461180479074,0.08637876553182695,0.6491228070175439,3078
18,"18,",2,1.0,0.0,0.00010000000000000007,0.647887323943662,71
jr,"Jr., Jr.,",2,8.899999999999988,0.949390006644912,8.428571428571433e-05,0.6428571428571429,70
until,until,5,302.47000000000054,2.4806823063254897,0.000144777462483571,0.640625,128
is,is,2,9013.0,3.954869371066479,0.011514330585155977,0.6383442265795207,459
magic,Magic,5,52.68999999999999,1.7217281985727875,0.0,0.6363636363636364,11
hunt,Hunt,4,25.86000000000001,1.4126285205443752,0.0,0.6363636363636364,11
pearl,Pearl,5,15.669999999999998,1.19506899646859,0.0,0.6363636363636364,11
harry,Harry,5,82.22000000000001,1.914977472444331,0.0,0.6363636363636364,11
usa,USA),3,3.9799999999999995,0.5998830720736877,0.0,0.6363636363636364,11
fantasy,Fantasy:,7,16.240000000000002,1.2105860249051565,0.0,0.6363636363636364,11
talk,Talk,4,855.0,2.9319661147281733,0.0,0.6363636363636364,11
60,60,2,1.0,0.0,0.0,0.6363636363636364,22
ulm,Ulm,3,1.0,0.0,0.00010000000000000003,0.6363636363636364,11
end,end,3,265.86000000000007,2.424653000415255,0.0,0.6363636363636364,11
1743,1743,4,1.0,0.0,0.00010000000000000003,0.6363636363636364,11
simbas,"""Simba's",6,1.0,0.0,0.00010000000000000003,0.6363636363636364,11
superman,"Superman,",8,12.22,1.0870712059065357,0.00010000000000000003,0.6363636363636364,11
tv,T.V.,2,101.94000000000001,2.0083446292526896,0.00010000000000000003,0.6363636363636364,11
billy,Billy,5,69.12,1.8396037294708376,0.00010000000000000003,0.6363636363636364,11
edison,Edison,6,2.39,0.37839790094813763,0.0,0.6363636363636364,11
1893,"1893,",4,1.0,0.0,0.0,0.6363636363636364,11
100,100,3,1.0,0.0,0.0037974427779604654,0.6363636363636364,11
night,Night,5,866.0400000000004,2.9375379513453983,0.0,0.6363636363636364,22
hard,Hard,4,307.84000000000003,2.488325050357719,0.0,0.6363636363636364,11
technology,"Technology,",10,14.94,1.17435059747938,0.00010000000000000003,0.6363636363636364,11
jacob,Jacob,5,11.67,1.0670708560453703,0.00010000000000000003,0.6363636363636364,11
mgm,MGM,3,1.0,0.0,0.0,0.6363636363636364,11
response,response,8,16.099999999999998,1.2068258760318498,0.0007943288526665316,0.6363636363636364,11
eve,Eve,3,28.180000000000003,1.4499409887733379,0.00010000000000000003,0.6363636363636364,11
jezebel,Jezebel:,7,0.67,-0.17392519729917352,0.00010000000000000003,0.6363636363636364,11
relatively,relatively,10,3.25,0.5118833609788744,0.00010000000000000003,0.6363636363636364,11
1643,1643),4,1.0,0.0,0.0,0.6363636363636364,11
alongside,alongside,9,3.7599999999999985,0.575187844927661,0.00010000000000000003,0.6363636363636364,11
the,"""The, (the, The, [the, the",3,29449.180000003023,4.469073206544833,0.2263823166964029,0.6324139614351965,4097
bones,"Bones, Bones)",5,30.61000000000001,1.4858633295973354,9.999999999999999e-05,0.625,24
dozen,dozen,5,24.13999999999999,1.3827372657613308,0.007038620689134973,0.625,24
artist,"artist,",6,28.63,1.4568213480215986,9.999999999999999e-05,0.625,24
9th,9th,3,1.0,0.0,9.999999999999999e-05,0.625,24
luther,Luther,6,11.979999999999999,1.0784568180532927,0.03518584936780885,0.625,24
novel,novel,5,10.06,1.0025979807199086,9.999999999999999e-05,0.625,24
and,"(and, And, and, and,",3,13387.839999999864,4.126710513401085,0.03592113063959161,0.6243298969072165,2425
on,"On, on",2,6955.729999999983,3.8423427156846564,0.05662077625660051,0.6118143459915611,474
golf,"Golf, golf, golf,",4,25.529999999999983,1.4070508148042504,9.999999999999994e-05,0.6111111111111112,36
five,five,4,285.4500000000004,2.4555300473427044,0.004141167415268178,0.6086956521739131,69
1959,1959),4,1.0,0.0,5.217391304347828e-05,0.6086956521739131,23
man,"Man, man, man,",3,1845.75,3.266172877094504,0.0018946643215177598,0.6086956521739131,46
iii,"III, III,, III:",3,0.04000000000000002,-1.3979400086720375,8.405797101449278e-05,0.6086956521739131,69
for,"""for, For, for",3,6895.1000000000595,3.8385405691533525,0.15619348222036092,0.6028225806451613,496
life,"Life, life",4,796.6500000000004,2.9012675604748197,0.0008852128101333228,0.6,35
maja,Maja,4,1.0,0.0,0.00010000000000000002,0.6,10
be,be,2,5746.760000000006,3.7594230602184147,0.06201985066818063,0.6,80
ii,"II, II,, II.",2,1.1200000000000012,0.049218022670181626,8.829787234042559e-05,0.5957446808510638,94
w,W.,1,1.0,0.0,0.00429694777889273,0.5866666666666667,150
with,"With, with",4,5048.330000000029,3.7031477361914136,0.030546398999881364,0.5864485981308412,428
july,"(July, July",4,12.080000000000013,1.0820669342851137,0.00038060693685657015,0.5857142857142857,70
maternal,maternal,8,1.47,0.16731733474817603,0.00010000000000000003,0.5833333333333334,12
royale,Royale,6,0.7800000000000001,-0.10790539730951963,0.00010000000000000003,0.5833333333333334,12
hands,hands,5,236.53000000000006,2.3738862317891534,0.0013294867680377369,0.5833333333333334,12
tender,Tender,6,8.879999999999999,0.9484129657786012,0.00010000000000000003,0.5833333333333334,12
1876,1876,4,1.0,0.0,9.999999999999999e-05,0.5833333333333334,24
boy,boy,3,529.8199999999999,2.7241283483094487,0.0012872822676158204,0.5833333333333334,12
multiple,multiple,8,10.590000000000002,1.0248959601074852,0.00010000000000000003,0.5833333333333334,12
regular,regular,7,33.86000000000001,1.5296869537729165,0.000991326724041052,0.5833333333333334,12
few,few,3,301.8199999999999,2.479748014769749,0.1221553221407788,0.5833333333333334,24
bbc,BBC,3,1.0,0.0,0.00010000000000000003,0.5833333333333334,12
old,old,3,608.9400000000002,2.7845745028912856,0.016178434484339532,0.5833333333333334,12
side,side,4,200.92000000000004,2.303023169487511,0.00010000000000000003,0.5833333333333334,12
twenty,twenty,6,27.02,1.4316853446860114,0.0002620661836262973,0.5833333333333334,12
bank,Bank,4,84.98,1.9293167267534959,0.45128216837115104,0.5833333333333334,24
1835,1835,4,1.0,0.0,0.00010000000000000003,0.5833333333333334,12
1902�19,1902�19,7,1.0,0.0,0.00010000000000000003,0.5833333333333334,12
game,game,4,233.84000000000003,2.36891880234938,0.00010000000000000003,0.5833333333333334,12
swedish,Swedish,7,3.9200000000000013,0.5932860670204573,0.00010000000000000003,0.5833333333333334,12
1767,1767,4,1.0,0.0,0.00010000000000000003,0.5833333333333334,12
dexter,Dexter,6,6.5900000000000025,0.81888541459401,0.00010000000000000003,0.5833333333333334,12
bay,Bay,3,24.240000000000006,1.3845326154942483,0.002432898464938635,0.5833333333333334,12
marion,"Marion,",6,1.0,0.0,0.00010000000000000003,0.5833333333333334,12
1830,"1830,",4,1.0,0.0,0.00010000000000000003,0.5833333333333334,12
bar,bar,3,85.98,1.9343974407809876,0.0005669530795286269,0.5833333333333334,12
8th,8th,3,1.0,0.0,0.00010000000000000003,0.5833333333333334,12
sur,Sur,3,0.59,-0.2291479883578558,0.00010000000000000003,0.5833333333333334,12
calvin,Calvin,6,9.289999999999997,0.9680157139936418,0.00010000000000000003,0.5833333333333334,12
english,English,7,74.05999999999999,1.869583707713424,0.00021871062851437685,0.5833333333333334,12
fund,"Fund,",4,10.61,1.0257153839013406,0.00010000000000000003,0.5833333333333334,12
1895,"1895,",4,1.0,0.0,0.00010000000000000003,0.5833333333333334,12
botany,"botany,",6,0.39000000000000007,-0.40893539297350073,0.00010000000000000003,0.5833333333333334,12
tod,Tod,3,2.73,0.436162647040756,0.00010000000000000003,0.5833333333333334,12
air,Air,3,139.02,2.1430772841736196,0.010049441639840423,0.5833333333333334,24
themes,themes,6,1.1200000000000003,0.04921802267018165,0.00010000000000000003,0.5833333333333334,12
1933,1933,4,1.0,0.0,0.00010000000000000003,0.5833333333333334,12
san,San,3,49.85999999999998,1.6977522741677546,0.0003814056941152436,0.5833333333333334,48
dee,Dee,3,6.650000000000001,0.8228216453031046,0.00010000000000000003,0.5833333333333334,12
rush,Rush,4,31.410000000000007,1.4970679363985049,0.00204564422068457,0.5833333333333334,12
film,film,4,65.25,1.814580516010321,0.00010000000000000009,0.5833333333333334,72
half,half,4,199.13999999999996,2.299158502792248,0.00010000000000000003,0.5833333333333334,12
progress,"progress,",8,21.25,1.3273589343863303,0.00010000000000000003,0.5833333333333334,12
1957,"(1957),, 1957,",4,1.0,0.0,9.999999999999999e-05,0.5833333333333334,24
lone,"""Lone",4,5.25,0.7201593034059569,0.00010000000000000003,0.5833333333333334,12
1929,1929,4,1.0,0.0,0.00010000000000000003,0.5833333333333334,12
scholars,scholars,8,0.92,-0.03621217265444471,0.00010000000000000003,0.5833333333333334,12
cancer,cancer,6,22.329999999999995,1.348888723071438,0.00010000000000000003,0.5833333333333334,12
black,black,5,167.94000000000003,2.2251541488498066,0.00010000000000000003,0.5833333333333334,12
del,del,3,8.569999999999999,0.9329808219231984,0.00010000000000000003,0.5833333333333334,12
19th,19th,4,1.0,0.0,0.0004022060307530227,0.5833333333333334,12
ruth,Ruth,4,20.670000000000005,1.315340476627288,0.00010000000000000003,0.5833333333333334,12
1977,"1977),",4,1.0,0.0,0.00010000000000000003,0.5833333333333334,12
1968,"1968, 1968)",4,1.0,0.0,9.999999999999999e-05,0.5833333333333334,24
grant,Grant,5,32.550000000000004,1.5125509929042107,0.00010000000000000003,0.5833333333333334,12
nfl,"NFL,",3,1.0,0.0,0.00010000000000000003,0.5833333333333334,12
eg,(e.g.,2,0.019999999999999997,-1.6989700043360187,0.00010000000000000003,0.5833333333333334,12
viva,Viva,4,3.1200000000000006,0.4941545940184427,0.00010000000000000003,0.5833333333333334,12
1935,1935,4,1.0,0.0,0.00010000000000000003,0.5833333333333334,12
north,North,5,63.88,1.805364907466445,0.002657204671243861,0.5833333333333334,12
april,"(April, April",5,20.65000000000005,1.3149200559924175,0.00010435384910719425,0.578125,128
sr,"Sr., Sr.,",2,4.979999999999997,0.6972293427597185,7.659574468085102e-05,0.574468085106383,47
14,"14,",2,1.0,0.0,0.00010000000000000002,0.5714285714285714,21
6,"6,",1,1.0,0.0,9.999999999999994e-05,0.5714285714285714,35
but,but,3,4417.469999999993,3.6451736088004867,0.0008008205250424676,0.5679012345679012,81
st,"St, St.",2,50.23999999999989,1.7010496307291407,0.00019454952778618387,0.5662650602409639,83
age,age,3,79.20000000000003,1.8987251815894932,0.00012194305133063002,0.5652173913043478,23
22,"22, 22,",2,1.0,0.0,0.0001,0.5652173913043478,23
betty,"Betty, Betty,",5,24.43,1.3879234669734366,5.217391304347828e-05,0.5652173913043478,23
17,"17,",2,1.0,0.0,7.608695652173908e-05,0.5652173913043478,46
power,power,5,149.02,2.173244559061566,5.217391304347828e-05,0.5652173913043478,23
than,than,4,738.7999999999997,2.8685268867682048,0.20894393955872523,0.5625,48
1905,"1905, 1905]",4,1.0,0.0,9.999999999999994e-05,0.5588235294117647,34
knight,Knight,6,26.759999999999994,1.4274861090957862,9.999999999999994e-05,0.5555555555555556,36
1,"1,, [1]",1,1.0,0.0,9.999999999999999e-05,0.5531914893617021,47
are,"are, are:",3,5209.25,3.716775200399697,0.0021660737316457354,0.5517241379310345,58
who,"Who, who, who,",3,2222.939999999987,3.346927740692429,0.008963757149506726,0.546875,320
wars,"Wars, wars,",4,9.120000000000003,0.9599948383284164,0.0,0.5454545454545454,22
carew,Carew,5,1.0,0.0,0.00010000000000000003,0.5454545454545454,11
rca,RCA,3,1.0,0.0,0.0,0.5454545454545454,11
central,central,7,24.75,1.3935752032695878,0.0022389033327255216,0.5454545454545454,11
trippe,Trippe,6,1.0,0.0,0.00010000000000000003,0.5454545454545454,11
activity,activity,8,12.879999999999997,1.1099158630237935,0.00010000000000000003,0.5454545454545454,11
live,"Live, Live,",4,344.5900000000001,2.5373026700712837,0.0,0.5454545454545454,22
bing,Bing,4,4.57,0.6599162000698503,0.0,0.5454545454545454,11
public,public,6,71.08000000000001,1.8517474191332643,0.0,0.5454545454545454,11
rosalind,Rosalind,8,0.59,-0.2291479883578558,0.00010000000000000003,0.5454545454545454,11
marx,Marx,4,2.5099999999999993,0.399673721481038,0.00010000000000000003,0.5454545454545454,11
wall,Wall,4,70.69000000000001,1.849357981661299,0.00010000000000000003,0.5454545454545454,11
river,River,5,55.47000000000002,1.7440581658788354,0.0,0.5454545454545454,11
scientist,scientist,9,12.180000000000001,1.0856472882968564,0.00010000000000000003,0.5454545454545454,11
about,about,5,3631.490000000001,3.5600848525864137,0.0005349224668968826,0.5454545454545454,33
20th,20th,4,1.0,0.0,0.00010000000000000003,0.5454545454545454,11
bridget,Bridget,7,1.0,0.0,0.0,0.5454545454545454,11
thirteen,Thirteen,8,5.25,0.7201593034059569,0.0,0.5454545454545454,11
dearborn,"Dearborn,",8,0.5700000000000001,-0.24412514432750856,0.0,0.5454545454545454,11
puts,puts,4,24.0,1.3802112417116061,0.0,0.5454545454545454,11
aquidneck,Aquidneck,9,1.0,0.0,0.0,0.5454545454545454,11
pedophile,"pedophile,",9,1.3499999999999999,0.13033376849500614,0.0,0.5454545454545454,11
mr,Mr.,2,1178.3899999999999,3.0712890483599935,0.0,0.5454545454545454,11
teachings,teachings,9,1.43,0.15533603746506183,0.00010000000000000003,0.5454545454545454,11
potrays,potrays,7,1.0,0.0,0.0,0.5454545454545454,11
17131766,(1713-1766),8,1.0,0.0,0.00010000000000000003,0.5454545454545454,11
jose,Jose,4,4.450000000000002,0.6483600109809319,5.0000000000000016e-05,0.5454545454545454,22
oscar,Oscar,5,17.800000000000004,1.2504200023088943,0.00010000000000000003,0.5454545454545454,11
rochester,"Rochester,",9,0.6500000000000001,-0.18708664335714434,0.0,0.5454545454545454,11
cat,Cat,3,66.33000000000001,1.8217099972983766,0.0,0.5454545454545454,11
search,Search,6,48.37,1.684576087388455,0.00024174857511198984,0.5454545454545454,11
promotion,promotion,9,10.92,1.0382226383687188,0.0,0.5454545454545454,11
idea,"idea,",4,359.04,2.5551428352400483,0.0,0.5454545454545454,11
too,too,3,1371.57,3.137217977334607,0.0,0.5454545454545454,11
polly,"Polly,",5,6.61,0.8202014594856404,0.0,0.5454545454545454,11
cast,cast,4,23.13999999999999,1.3643633546157306,0.0001,0.5454545454545454,22
winner,winner,6,31.220000000000006,1.4944328987263982,0.00010000000000000003,0.5454545454545454,11
will,"(""Will, Will",4,2123.650000000001,3.327082941979187,0.0011202281160766425,0.5454545454545454,22
catholic,Catholic,8,12.47,1.0958664534785427,0.00010000000000000003,0.5454545454545454,11
chief,Chief,5,77.89999999999999,1.8915374576725648,0.0,0.5454545454545454,11
tales,Tales,5,7.040000000000001,0.8475726591421122,0.00010000000000000003,0.5454545454545454,11
m,M.,1,1.0,0.0,0.0,0.5454545454545454,11
avery,"Avery,",5,1.0,0.0,0.0,0.5454545454545454,11
rae,Rae,3,1.0,0.0,0.0,0.5454545454545454,11
winifred,Winifred,8,1.0,0.0,0.0,0.5454545454545454,11
followers,followers,9,2.75,0.4393326938302628,0.0,0.5454545454545454,11
heavy,heavy,5,47.290000000000006,1.674769314015426,0.0,0.5454545454545454,11
paul�s,Paul�s,6,1.0,0.0,0.00010000000000000003,0.5454545454545454,11
kim,Kim,3,30.160000000000004,1.4794313371977361,0.0,0.5454545454545454,11
enable,enable,6,1.4700000000000002,0.16731733474817603,0.00010000000000000003,0.5454545454545454,11
take,take,4,1891.0400000000006,3.276700715304873,0.0,0.5454545454545454,33
favorite,favorite,8,59.45,1.77415185895471,0.0,0.5454545454545454,11
bros,"Bros.,",4,1.0999999999999999,0.04139268515822508,0.0,0.5454545454545454,11
peter,Peter,5,90.12,1.9548211830517928,0.0,0.5454545454545454,11
aid,aid,3,13.900000000000004,1.1430148002540952,0.0,0.5454545454545454,11
both,both,4,295.33000000000067,2.470307565396134,0.000180925557331996,0.5434782608695652,92
that,"That, that, that,",4,14111.310000000045,4.149567332631934,0.010030472069641238,0.5432692307692307,208
arts,"Arts, arts",4,9.220000000000006,0.9647309210536295,0.0025932918924296815,0.5428571428571428,35
up,up,2,3670.0,3.5646660642520915,0.04306405828950119,0.5428571428571428,35
21,"21,",2,1.0,0.0,6.857142857142857e-05,0.5428571428571428,35
26,"26,",2,1.0,0.0,9.999999999999999e-05,0.5416666666666666,24
into,into,4,844.59,2.92664593504469,0.02611013213324675,0.5416666666666666,24
vote,"vote, vote,",4,34.330000000000005,1.5356738034257509,9.999999999999999e-05,0.5416666666666666,24
best,"""Best, Best, best",4,404.36999999999966,2.6067789280323534,0.0006715507390442784,0.5375,80
march,"(March, March",5,24.019999999999985,1.380573003066886,0.00012867351580549523,0.5352112676056338,71
wife,"wife, wife,",4,348.91999999999916,2.5427258638037875,0.02699658228584773,0.5319148936170213,94
movie,"Movie,, movie",5,122.96000000000002,2.089763854491689,2.5000000000000008e-05,0.5227272727272727,44
two,"Two, two",3,1066.3499999999997,3.0278997732839144,0.021052282802898656,0.5217391304347826,69
shows,shows,5,41.51,1.6181527333785197,0.009623177467886603,0.5217391304347826,23
from,"(from, From, from",4,2039.060000000026,3.309430005221724,0.1464424522522583,0.5170340681362725,499
new,"New, new",3,723.7799999999991,2.859606578206228,0.010310240259948908,0.5167464114832536,209
his,"(his, His, his",3,2124.780000000024,3.3273139698064087,0.011982891655321152,0.5166666666666667,900
same,same,4,417.1800000000002,2.620323479769259,0.004971428135270389,0.5161290322580645,31
october,"October, October,",7,9.919999999999993,0.9965116721541784,6.857142857142857e-05,0.5142857142857142,70
said,said,4,1108.45,3.04471610772219,0.0021490064618446525,0.5142857142857142,35
this,"This, this",4,7978.729999999988,3.9019337688086297,0.01989144461710077,0.5142857142857142,105
their,"Their, their",5,655.1600000000008,2.8163473742383665,0.0039166519538598185,0.5074626865671642,67
