word,original_forms,difficulty,regression_probability,total_occurrences
teachings,teachings,0.9858785420486309,0.45454545454545453,11
despite,Despite,0.8987324225175606,0.45454545454545453,11
effect,effect,0.8746910999138057,0.45454545454545453,11
stock,"stock,",0.8721481967755212,0.45454545454545453,11
pallbearer,pallbearer,1.0597797562888902,0.45454545454545453,11
obituary,obituary,0.9887407599120833,0.45454545454545453,11
superman,"Superman,",0.901175344917588,0.45454545454545453,11
lincolnshire,"Lincolnshire,",1.0,0.45454545454545453,11
nveraellen,"nVera-Ellen,",1.0,0.45454545454545453,11
serbian,Serbian,1.0488729092819131,0.45454545454545453,11
research,research,0.8618338187476623,0.45454545454545453,11
basinger,Basinger,1.0,0.45454545454545453,11
simbas,"""Simba's",1.0,0.45454545454545453,11
excelsior,Excelsior,1.011358066964391,0.45454545454545453,11
hampstead,"Hampstead,",1.0,0.45454545454545453,11
driver,driver,0.8476815104792764,0.45454545454545453,11
testdrove,test-drove,1.0,0.45454545454545453,11
portsmouth,"Portsmouth,",1.0,0.45454545454545453,11
pride,Pride,0.8689082582599135,0.45454545454545453,11
heavy,heavy,0.8477482441804157,0.45454545454545453,11
radio,"""Radio, Radio,, radio",0.8284086568876925,0.4411764705882353,34
over,over,0.716213179038116,0.43478260869565216,23
aldous,Aldous,1.0,0.43478260869565216,23
anthony,Anthony,0.8920692163789566,0.4166666666666667,12
bones,"Bones, Bones)",0.864921515491151,0.4166666666666667,24
delilah,Delilah,0.9442923766618422,0.4166666666666667,12
nicolas,Nicolas,1.0,0.4166666666666667,12
matthias,Matthias,1.0,0.4166666666666667,12
receiving,receiving,0.9194612418362335,0.4166666666666667,12
gloria,Gloria,0.899098557906928,0.4166666666666667,12
le,Le,0.8907324487816678,0.4166666666666667,12
wisconsin,Wisconsin,0.9405294052838221,0.4166666666666667,12
julia,Julia,1.0,0.4166666666666667,12
maynard,Maynard,1.0,0.4166666666666667,12
commissioned,commissioned,0.9864346261222381,0.4166666666666667,12
garon,Garon,1.1270854553338217,0.4166666666666667,12
lisa,Lisa,1.0,0.4166666666666667,12
fictional,fictional,0.9869986545223549,0.4166666666666667,12
half,half,0.7909855906552502,0.4166666666666667,12
royale,Royale,1.009809581573593,0.4166666666666667,12
nee,(nee,1.0298092856422072,0.4166666666666667,12
homes,homes,0.8953578860587501,0.4166666666666667,12
participant,participant,1.0208316353052598,0.4166666666666667,12
botany,"botany,",1.0371759448157725,0.4166666666666667,12
jeanbaptiste,Jean-Baptiste,1.0,0.4166666666666667,12
negro,Negro,0.9336387013000405,0.4166666666666667,12
louisa,Louisa,1.0,0.4166666666666667,12
presidentelect,President-elect,1.0,0.4166666666666667,12
briac,Briac,1.0,0.4166666666666667,12
adamss,Adams's,1.0,0.4166666666666667,12
sixth,sixth,0.906052385864823,0.4166666666666667,12
marion,"Marion,",1.0,0.4166666666666667,12
rauff,Rauff,1.0,0.4166666666666667,12
underground,Underground,0.9018268665757531,0.4166666666666667,12
lichfield,Lichfield,1.0,0.4166666666666667,24
progress,"progress,",0.879331005964879,0.4166666666666667,12
patriots,Patriots,0.9821909406900695,0.4166666666666667,12
justitiekansler,"(""Justitiekansler"")",1.0,0.4166666666666667,12
expeditionary,Expeditionary,1.0488729092819131,0.4166666666666667,12
hubert,Hubert,1.0,0.4166666666666667,12
canadian,Canadian,0.9366155142945711,0.4166666666666667,12
staff,staff,0.8631681837890994,0.4166666666666667,12
rico,Rico),1.0,0.4166666666666667,12
addams,"Addams,",1.0,0.4166666666666667,12
separate,separate,0.8784854705950523,0.4166666666666667,12
edsels,Edsel's,1.0,0.4090909090909091,22
alberts,Albert's,1.0,0.4,10
crossing,Crossing,0.9145438040902125,0.4,10
power,power,0.8024323128125846,0.391304347826087,23
commenced,commenced,1.0250658300362911,0.375,24
sargent,Sargent,1.0,0.375,24
entered,entered,0.8940147613918062,0.375,24
founded,founded,0.9553307551059758,0.37142857142857144,35
1728,1728,1.0,0.36363636363636365,11
crescentia,Crescentia,1.0,0.36363636363636365,11
thirteen,Thirteen,0.9345309724176403,0.36363636363636365,11
toward,toward,0.876344126064059,0.36363636363636365,11
alongside,alongside,0.9477101959156671,0.36363636363636365,11
station,station,0.827448485396215,0.36363636363636365,11
widow,widow,0.9015649663348685,0.36363636363636365,11
carew,Carew,1.0,0.36363636363636365,11
rca,RCA,1.0,0.36363636363636365,11
electrical,electrical,0.9149081094804358,0.36363636363636365,11
studio,Studio,0.8756441146551134,0.36363636363636365,11
vermont,Vermont,0.9417744148208709,0.36363636363636365,11
controversial,controversial,0.9699623842409827,0.36363636363636365,11
rochester,"Rochester,",1.0170078766688313,0.36363636363636365,11
soldiers,soldiers,0.8689653740984989,0.36363636363636365,11
eve,Eve,0.8681871828387874,0.36363636363636365,11
infamous,infamous,0.9681592710605306,0.36363636363636365,11
dedham,"Dedham,",1.0,0.36363636363636365,11
1966,1966,1.0,0.36363636363636365,11
red,Red,0.8026874777230742,0.36363636363636365,11
fairbanks,Fairbanks,0.9853301816150022,0.36363636363636365,11
uncommon,Uncommon,0.9695951135317334,0.36363636363636365,11
river,River,0.8414492576473787,0.36363636363636365,11
descended,descended,0.9767934086269723,0.36363636363636365,11
personal,personal,0.8216157062409016,0.36363636363636365,11
returning,returning,0.9033333310043864,0.36363636363636365,11
can,can,0.6618228809885206,0.36363636363636365,11
hochschule,Hochschule,1.0,0.36363636363636365,11
hitlers,Hitler's,1.0,0.36363636363636365,11
springwells,Springwells,1.0,0.36363636363636365,11
papers,papers,0.8442052292355379,0.36363636363636365,11
badenwuerttemberg,"Baden-Wuerttemberg,",1.0,0.36363636363636365,11
amongst,amongst,0.9223910716567117,0.36363636363636365,11
internal,internal,0.9097277183244235,0.36363636363636365,11
billy,Billy,0.8327632973208329,0.36363636363636365,11
julian,Julian,0.9209256174564246,0.36363636363636365,22
clarence,Clarence,0.9150915305607961,0.36363636363636365,11
inns,Inns,1.0488729092819131,0.36363636363636365,11
munich,Munich,0.9718518029612823,0.36363636363636365,11
voters,voters,0.9710851513670218,0.36363636363636365,11
joshua,Joshua,0.9330548634293959,0.36363636363636365,11
advocated,advocated,1.04144835960452,0.36363636363636365,11
paul�s,Paul�s,1.0,0.36363636363636365,11
harry,Harry,0.8259111388686974,0.36363636363636365,11
manners,Manners,0.8994681205104416,0.3611111111111111,36
emigrated,emigrated,1.0488729092819127,0.34782608695652173,23
within,"Within, within",0.8389065304250135,0.34782608695652173,23
study,study,0.8463135944081494,0.34782608695652173,23
eleanor,"Eleanor, Eleanor,",0.9236267186857495,0.34782608695652173,23
franklin,"(Franklin, Franklin",0.9060523858648232,0.3404255319148936,47
rosemary,"Rosemary, Rosemary,",0.9369339137342146,0.3392857142857143,56
attorneygeneral,Attorney-General,1.0,0.3333333333333333,12
threesport,three-sport,1.0,0.3333333333333333,12
hupp,Hupp,1.0,0.3333333333333333,12
service,"Service, service",0.8270313204347343,0.3333333333333333,24
tapped,"""tapped""",0.9408811342607332,0.3333333333333333,12
fractal,fractal,1.0677024995360636,0.3333333333333333,24
varsity,varsity,0.9779056319376096,0.3333333333333333,12
organizing,organizing,0.9734312662403203,0.3333333333333333,12
wuerttemberg,Wuerttemberg,1.0,0.3333333333333333,9
performed,performed,0.9214620566401946,0.3333333333333333,12
player,player,0.856633455852179,0.3333333333333333,12
find,find,0.7345836255806572,0.3333333333333333,12
laureate,"Laureate,",1.0776247240292511,0.3333333333333333,12
cold,Cold,0.8077747690973816,0.3333333333333333,12
misjudged,misjudged,0.9875708575312356,0.3333333333333333,12
democraticrepublican,Democratic-Republican,1.0,0.3333333333333333,12
pennsylvania,Pennsylvania,0.9389842870259019,0.3333333333333333,24
my,"""my",0.6518070864825087,0.3333333333333333,12
cardinal,"""Cardinal",0.9444854397191021,0.3333333333333333,12
roland,Roland,0.9332000154919232,0.3333333333333333,24
ma,MA,0.7937231173038525,0.3333333333333333,12
cecil,"Cecil, Cecil,",0.9734312662403207,0.3333333333333333,24
compound,compound,0.9227242493009302,0.3333333333333333,12
systematic,Systematic,1.0208316353052598,0.3333333333333333,12
40,(40,1.0,0.3333333333333333,12
swedish,Swedish,0.9460649029981402,0.3333333333333333,12
theological,Theological,1.0371759448157725,0.3333333333333333,12
plantation,plantation,0.9525050696812437,0.3333333333333333,12
selling,selling,0.8567696165163757,0.3333333333333333,12
williams,Williams,0.8886552766824832,0.3333333333333333,12
field,field,0.8321511716245631,0.3333333333333333,12
19171919,(1917-1919),1.0,0.3333333333333333,12
briefly,briefly,0.9540772746981906,0.3333333333333333,12
unit,unit,0.858321039770564,0.3333333333333333,12
planes,planes,0.8869289167187463,0.3333333333333333,12
18251829,(1825-1829),1.0,0.3333333333333333,12
dorothea,Dorothea,1.0,0.3333333333333333,12
theatre,Theatre,0.9038831232347081,0.3333333333333333,12
acquired,acquired,0.9408811342607332,0.3333333333333333,12
dramatic,dramatic,0.9099691950193093,0.3333333333333333,12
honor,honor,0.8196662379218003,0.3333333333333333,12
jean,Jean,0.8864810240362803,0.3333333333333333,12
acting,acting,0.8436595006791294,0.3333333333333333,24
1890,"1890,",1.0,0.3333333333333333,12
opposite,opposite,0.8925596738232021,0.3333333333333333,12
brevet,brevet,1.1110771590560324,0.3333333333333333,12
1865,1865,1.0,0.3333333333333333,12
1902�19,1902�19,1.0,0.3333333333333333,12
paired,paired,1.0170078766688313,0.3333333333333333,12
arista,Arista,1.099719092091642,0.3333333333333333,24
commented,commented,1.043771460011101,0.3333333333333333,12
barbara,"Barbara,",0.8768468587313886,0.3333333333333333,12
state�s,state�s,1.0,0.3333333333333333,12
comfort,Comfort,0.8876333502620332,0.3333333333333333,12
speaker,Speaker,0.9237409917511585,0.3333333333333333,12
roads,"roads,",0.912988345665744,0.3333333333333333,12
approached,approached,0.9423202481672063,0.3333333333333333,12
educated,educated,0.9324795335177546,0.3333333333333333,24
elliott,Elliott,1.0,0.3333333333333333,12
unprofitable,unprofitable,1.0997190920916415,0.3333333333333333,12
rose,Rose,0.8432327524184479,0.3333333333333333,24
sworn,sworn,0.9103342020862938,0.3333333333333333,12
reported,reported,0.8927680189849828,0.3333333333333333,12
italian,Italian,0.9472924003075623,0.3333333333333333,12
1817,1817,1.0,0.3333333333333333,12
tehran,Tehran,1.0,0.3333333333333333,12
comedy,comedy,0.9025561811539894,0.3333333333333333,36
margaret,Margaret,0.8631435156742472,0.3333333333333333,12
tyndal,Tyndal,1.0,0.3333333333333333,12
maternal,maternal,0.9847893332047112,0.3333333333333333,12
latters,latter's,1.0,0.3333333333333333,12
1937,1937,1.0,0.3333333333333333,12
wholesale,wholesale,0.9797530480774926,0.3333333333333333,12
becoming,becoming,0.8764130890799106,0.3333333333333333,24
canals,"canals,",1.0170078766688313,0.3333333333333333,12
eight,eight,0.818882876927537,0.3333333333333333,12
beat,Beat,0.8073133820302621,0.3333333333333333,12
viva,Viva,0.9550768550892327,0.3333333333333333,12
murder,murder;,0.8136722170368208,0.3333333333333333,12
commanded,commanded,0.9797530480774926,0.3333333333333333,12
simon,Simon,0.8731362614267616,0.3333333333333333,12
commanding,Commanding,0.9237409917511585,0.3333333333333333,12
fleming,Fleming,0.9410581808199153,0.3333333333333333,33
multiple,multiple,0.906827639990229,0.3333333333333333,12
yes,"Yes,",0.69997037562674,0.3333333333333333,12
situation,situation,0.8257816996723749,0.3333333333333333,12
gladys,Gladys,1.0,0.3333333333333333,12
secularists,Secularists,1.0,0.3333333333333333,12
voiced,(voiced,1.04144835960452,0.3333333333333333,12
lead,lead,0.8254196143474223,0.3333333333333333,12
earl,Earl,0.8808846939425051,0.3333333333333333,12
older,older,0.8525637069088484,0.3333333333333333,12
fatherinlaw,"father-in-law,",1.0,0.3333333333333333,12
strongly,strongly,0.9248434072573647,0.3333333333333333,12
andrew,Andrew,0.879293864554298,0.3235294117647059,34
clooneys,Clooney's,1.0,0.3181818181818182,22
gabriel,Gabriel,0.9312148992503778,0.3181818181818182,22
failure,failure,0.8816850842597003,0.3181818181818182,22
leonard,Leonard,0.9005026246689417,0.3142857142857143,35
intelligence,"Intelligence, intelligence",0.8831925713949582,0.3055555555555556,36
union,Union,0.8783583749618409,0.3055555555555556,36
hero,hero,0.8456747242135347,0.30434782608695654,23
princess,Princess,0.8547649543861627,0.30434782608695654,23
age,age,0.8273886198555008,0.30434782608695654,23
making,making,0.7866010392791796,0.30434782608695654,23
maja,Maja,1.0,0.3,10
michele,Michele,1.0,0.3,10
besso,Besso,1.0,0.3,10
alexander,Alexander,0.9110744984602349,0.29411764705882354,34
isabel,Isabel,0.9502022995101985,0.2916666666666667,24
baptist,Baptist,0.9669443654643503,0.2916666666666667,24
aron,Aron,1.0,0.2916666666666667,24
1925,"1925,, 1925;",1.0,0.2916666666666667,24
major,major,0.8163458645678916,0.2916666666666667,24
eyeless,Eyeless,1.1110771590560329,0.2916666666666667,24
products,Products,0.9284771434413129,0.2916666666666667,24
1934,"1934, 1934)",1.0,0.2916666666666667,24
brown,Brown,0.8382710025531926,0.288135593220339,59
called,called,0.7698632306340788,0.2857142857142857,35
grandfather,"grandfather, grandfather,",0.8739870810062903,0.2765957446808511,47
mary,Mary,0.8231929721851184,0.275,80
dominique,Dominique,0.9842557937807025,0.2727272727272727,11
1999,"1999,",1.0,0.2727272727272727,11
quarters,quarters,0.8901416948692215,0.2727272727272727,11
trippe,Trippe,1.0,0.2727272727272727,11
erin,Erin,0.9228359362680181,0.2727272727272727,11
sources,sources,0.9168298347690862,0.2727272727272727,11
nicks,(Nick's,1.0135219682982657,0.2727272727272727,11
wlw,WLW,1.0,0.2727272727272727,11
militia,militia,0.9679834074444216,0.2727272727272727,22
abram,Abram,1.0,0.2727272727272727,11
court,Court,0.8178946514590126,0.2727272727272727,11
dante,Dante,0.935213663488435,0.2727272727272727,11
search,Search,0.8468567193283222,0.2727272727272727,11
nearby,nearby,0.9163049998721106,0.2727272727272727,11
requested,requested,0.9149081094804358,0.2727272727272727,11
rosalind,Rosalind,1.0208316353052598,0.2727272727272727,11
1810,1810,1.0,0.2727272727272727,11
cottons,Cotton's,1.0837107958138523,0.2727272727272727,11
uk,UK),1.0,0.2727272727272727,11
artists,Artists,0.9175080581114016,0.2727272727272727,11
maysville,"Maysville,",1.0,0.2727272727272727,11
17131766,(1713-1766),1.0,0.2727272727272727,11
mumy,Mumy,1.0,0.2727272727272727,11
shifting,shifting,0.9779056319376096,0.2727272727272727,11
1982,1982,1.0,0.2727272727272727,11
central,central,0.8733113451573101,0.2727272727272727,11
1986,1986,1.0,0.2727272727272727,11
illuminating,Illuminating,1.0298092856422072,0.2727272727272727,11
marriage,marriage,0.8284700904839106,0.2727272727272727,11
started,started,0.7933487837806957,0.2727272727272727,11
initiative,initiative,0.9600606641972488,0.2727272727272727,11
initially,initially,0.9714666163300769,0.2727272727272727,11
employees,employees,0.9020244382134188,0.2727272727272727,11
timothy,Timothy,0.9511073549933392,0.2727272727272727,33
groucho,Groucho,1.0007976294825005,0.2727272727272727,11
towards,towards,0.8692521993086791,0.2727272727272727,11
shifted,shifted,0.9842557937807025,0.2727272727272727,11
bridget,Bridget,1.0,0.2727272727272727,11
crypt,Crypt,0.9875708575312356,0.2727272727272727,11
nicholas,Nicholas,0.9243173715721601,0.2727272727272727,11
leland,Leland,1.0,0.2727272727272727,11
springport,"Springport,",1.0,0.2727272727272727,22
movement,"movement, movement,",0.8935060090051814,0.2727272727272727,22
paternal,paternal,1.0088100011825498,0.2727272727272727,22
guilfoyle,"Guilfoyle,",1.0,0.2727272727272727,11
1941,1941-,1.0,0.2727272727272727,11
cincinnati,"Cincinnati,",0.9538312843912883,0.2727272727272727,11
attention,attention,0.8187104428906984,0.2727272727272727,11
sister,sister,0.7948591470770731,0.2727272727272727,22
hard,Hard,0.7737886317856618,0.2727272727272727,11
photoelectric,photoelectric,1.0837107958138523,0.2727272727272727,11
germanborn,German-born,1.0,0.2727272727272727,11
scientist,scientist,0.901304791973013,0.2727272727272727,11
germanys,Germany's,1.0,0.2727272727272727,11
kurt,Kurt,1.0,0.2727272727272727,11
18261905,(1826-1905),1.0,0.2727272727272727,11
einsteinmaria,"Einstein-Maria""",1.0,0.2727272727272727,11
1792,1792,1.0,0.2727272727272727,11
collaborative,collaborative,1.0776247240292511,0.2727272727272727,11
shirt,shirt,0.8485239003731085,0.2727272727272727,11
wanted,wanted,0.7544602509970509,0.2727272727272727,11
polly,"Polly,",0.9254362309558511,0.2727272727272727,11
cork,"Cork,",0.9585121788064508,0.2727272727272727,11
1638,1638,1.0,0.2727272727272727,11
sorensen,"Sorensen,",1.0,0.2727272727272727,11
days,Days,0.7740601766991498,0.2727272727272727,11
luminaries,luminaries,1.0909090909090906,0.2727272727272727,11
eth,"(ETH,",1.0909090909090906,0.2727272727272727,11
dissident,dissident,1.067702499536063,0.2727272727272727,11
technische,Technische,1.0,0.2727272727272727,11
eidgenoessische,Eidgenoessische,1.0,0.2727272727272727,11
science,science,0.8571703384468811,0.2727272727272727,11
longtime,long-time,1.0250658300362918,0.2727272727272727,11
newton,Newton,0.94781533929748,0.2727272727272727,11
hermanns,Hermann's,1.0,0.2727272727272727,11
direct,direct,0.874460503333573,0.2727272727272727,11
interest,interest,0.8448128235793095,0.2727272727272727,22
public,public,0.8316593255333398,0.2727272727272727,11
excelling,excelling,1.0997190920916415,0.2727272727272727,11
pavia,"Pavia,",1.1544518185760018,0.2727272727272727,11
burial,Burial,0.9384823991250122,0.2727272727272727,11
pedophile,"pedophile,",0.9881514755913632,0.2727272727272727,11
biography,biography,0.9847893332047112,0.2727272727272727,11
dearborn,"Dearborn,",1.0221931949388645,0.2727272727272727,11
joffe,"Joffe,",1.0,0.2727272727272727,11
representative,"Representative, representative",0.934231302542256,0.2727272727272727,22
baltimore,"Baltimore,",0.9226128773891751,0.2727272727272727,11
ulm,Ulm,1.0,0.2727272727272727,11
knew,knew,0.7666382467623086,0.2727272727272727,11
theoretical,"Theoretical, theoretical",0.9754988232529166,0.2727272727272727,22
prosperous,prosperous,0.9911899988174493,0.2727272727272727,11
band,"Band, band",0.842943402002806,0.2727272727272727,22
daughterinlaw,daughter-in-law,1.0,0.2727272727272727,11
brother,"brother, brother,",0.7769794020001651,0.2716049382716049,81
anne,Anne,0.880024500515433,0.26785714285714285,56
rhode,Rhode,1.0,0.26666666666666666,45
keynes,"Keynes, Keynes', Keynes,, Keynes;",1.0,0.26666666666666666,60
1905,"1905, 1905]",1.0,0.2647058823529412,34
both,both,0.7754265849639871,0.2608695652173913,92
betty,"Betty, Betty,",0.8738251393660512,0.2608695652173913,23
twin,"Twin, twin",0.9074286992339514,0.2608695652173913,23
michael,Michael,0.7911465080108522,0.2608695652173913,23
santa,Santa,0.8482523750971999,0.2608695652173913,23
km,"km, km?)",0.9875708575312355,0.2608695652173913,23
word,Word,0.7843560810387041,0.2608695652173913,23
10,"10,",1.0,0.2608695652173913,23
supported,supported,0.9488824668675934,0.2608695652173913,23
same,same,0.7617887745664307,0.25806451612903225,31
ferrer,"Ferrer, Ferrer,",1.0776247240292505,0.25757575757575757,66
medicine,"Medicine, medicine",0.8605430812676245,0.2571428571428571,35
lost,"Lost, lost",0.7783863124708743,0.2571428571428571,35
wife,"wife, wife,",0.7688431032905642,0.2553191489361702,94
leiden,Leiden,1.0,0.25,12
usaaf,(USAAF),1.0,0.25,12
duan,Duan,1.0909090909090906,0.25,12
rither,Rither,1.0,0.25,12
fans,"fans,",0.8959761114761823,0.25,12
millicent,Millicent,1.0,0.25,12
nova,Nova,0.9342313025422561,0.25,12
accompanied,accompanied,0.9714666163300768,0.25,12
majority,majority,0.9355209126385607,0.25,12
las,Las,0.8852532995021439,0.25,12
brownings,Browning's,1.0,0.25,12
founder,founder,0.9703331035519321,0.25,24
eastern,Eastern,0.9173130882508023,0.25,12
1910,1910,1.0,0.25,12
week,Week,0.7838630370539423,0.25,12
reconnaissance,reconnaissance,0.9783594451701098,0.25,12
maryland�s,Maryland�s,1.0,0.25,12
launched,launched,0.9477101959156671,0.25,12
actresses,actresses,0.9679834074444216,0.25,12
coming,coming,0.7525611730305614,0.25,12
1787,1787,1.0,0.25,12
key,key,0.8237436522703446,0.25,12
blue,Blue,0.8172493142728817,0.25,12
loretta,Loretta,1.0,0.25,12
boy,boy,0.7523519683355048,0.25,12
elder,elder,0.9229479400779895,0.25,12
delano,Delano,1.0,0.25,24
jailhouse,Jailhouse,0.9881514755913633,0.25,12
1775,1775,1.0,0.25,12
election,"election, election,",0.9053997872623566,0.25,48
colonel,"Colonel, colonel.",0.8196908419835877,0.25,24
partner,"partner, partner,",0.8294242428103294,0.25,36
jesse,(Jesse,0.8724591973323269,0.25,12
30,"30,",1.0,0.25,12
culbert,Culbert,1.1544518185760018,0.25,12
relieved,relieved,0.9080390505820654,0.25,12
christian,Christian,0.8907820796072313,0.25,12
southern,Southern,0.9031970709328566,0.25,12
georges,George's,1.0,0.25,12
course,course,0.7556613538691274,0.25,12
jeanne,Jeanne,1.0563444325716722,0.25,12
1913,"1913,",1.0,0.25,12
besides,Besides,0.8246633611426729,0.25,12
amphibious,Amphibious,1.0208316353052598,0.25,12
ulysses,Ulysses,0.998451514609202,0.25,12
neil,Neil,1.0,0.25,12
successful,successful,0.8810784201238148,0.25,12
usga,(USGA),1.0,0.25,12
actively,actively,1.0078351043287532,0.25,12
democratic,Democratic,0.9499792406313552,0.25,12
discharge,discharge,0.9266492700437438,0.25,12
moral,moral,0.8972131500889061,0.25,12
generally,generally,0.9163999069287172,0.25,12
levy,Levy,0.9738362063699794,0.25,12
helge,Helge,1.0,0.25,12
extremely,extremely,0.8749729328893329,0.25,12
ruth,Ruth,0.8804235930338828,0.25,12
pittman,"Pittman,",1.0,0.25,12
fabian,Fabian,0.9582370465673425,0.25,12
lincoln,"Lincoln,",0.8843147475113421,0.25,12
genre,genre,0.9976994667941118,0.25,12
those,those,0.7384721353551349,0.25,12
von,von,0.9058336522497431,0.25,24
olson,Olson,1.0,0.25,24
dorothy,Dorothy,0.8868838981089233,0.25,12
bachelor,Bachelor,0.9095675504920339,0.25,24
gene,"""Gene, Gene",0.8942309498390916,0.25,24
1924,1924),1.0,0.25,12
assigned,assigned,0.9014997618336124,0.25,12
alternating,Alternating,1.0352014675709333,0.25,12
organizations,organization's,0.9869986545223549,0.25,12
rather,Rather,0.8129325312882952,0.25,12
1919,"1919,",1.0,0.25,12
catherine,Catherine,0.8844414256409933,0.25,12
middleburg,"Middleburg,",1.0,0.25,12
sur,Sur,1.0208316353052598,0.25,12
dependent,dependent,0.9681592710605306,0.25,12
edinburgh,Edinburgh,0.9837293684278935,0.25,12
mer,"Mer,",1.009809581573593,0.25,12
johns,John's,0.9750765591578472,0.25,12
normal,Normal,0.832055677179328,0.25,12
famously,famously,1.018241768231493,0.25,24
members,members,0.8745262507534903,0.25,24
kerrys,"(Kerry's, Kerry's",1.0,0.25,60
4th,4th,1.0,0.25,12
worked,worked,0.8125815227628755,0.25,48
jane,Jane,0.8515212353495069,0.25,12
put,put,0.7347030634291493,0.25,12
whig,Whig,1.1110771590560324,0.25,12
bay,Bay,0.8741333985914322,0.25,12
opened,(opened,0.8609608768757285,0.25,12
universities,universities,0.9869986545223549,0.25,12
twenty,twenty,0.869846786846726,0.25,12
prussia,Prussia,1.0776247240292511,0.25,12
acquisition,acquisition,0.9853301816150021,0.25,12
delaware,Delaware,0.9759256524536787,0.25,12
bb9,(BB-9),1.0,0.25,12
1000,"1,000",1.0,0.25,12
brookline,"Brookline,",1.0,0.25,12
talia,Talia,1.0,0.25,24
theory,theory,0.8675892856540669,0.25,12
jason,Jason,0.8589480023932498,0.25,12
south,South,0.8355129390717169,0.25,36
invited,invited,0.8538969814189485,0.25,12
lake,Lake,0.8585179544757011,0.25,12
success,"Success,",0.8695121357624854,0.25,12
lieutenant,"Lieutenant, lieutenant",0.8166181505887419,0.25,24
banking,banking,0.9568894305385224,0.25,12
mawr,"Mawr,",1.0,0.25,12
18th,18th,1.0,0.25,12
texas,Texas,0.8684119880954769,0.25,12
